titulo,titulo_original,isbn,segmento_especifico,idioma,encadernacao,formato,paginas,colecao,ano_de_edicao,ano_copyright,edicao,coeditora,outras_informacoes,autores,editora,categoria,sinopse,link
A cor da ternura,NA,9788583921110,NA,Português,Brochura,"14 x 21 x 0,6",96,NA,2017,2017,1ª,NA,NA,Geni Guimaraes,Quinteto Editorial,Juvenil,"Ser pobre e negra trouxe para Geni muitos conflitos interiores. Já adulta, continuou enfrentando barreiras impostas pela sua cor. Para vencê-las, traçou uma meta de vida e chegou lá! Lutou e continua lutando com armas poderosas que adquiriu durante sua vida: amor, carinho, afeto... O mundo seria melhor se os homens deixassem, assim como Geni, que essas poderosas armas brotassem em seus corações?",https://www.travessa.com.br/a-cor-da-ternura-1-ed-2017/artigo/70632c07-18bb-4998-a722-188a6f91ae80
A democracia pode ser assim,Cómo puede ser la democracia,9788575594650,NA,Português,Brochura,18 x 20,52,Livros para o amanha - vol. 1,2015,NA,1ª,NA,NA,Equipo Plantel,Boitatá,Infantil,"A democracia pode ser assim é o primeiro volume da Coleção Livros para o Amanhã, pensada para crianças entre 8 e 10 anos de idade e que discute a maneira como as pessoas se relacionam em sociedade.Este livro apresenta o conceito de democracia a partir de imagens próximas do cotidiano das crianças, tomando como exemplos a hora do recreio e o jogo: atividades em que todos que participam têm de tomar decisões e assimilar suas regras. O texto se propõe a ser uma primeira abordagem à cidadania e a questões sociais, elucidando o que são as eleições, o papel dos partidos políticos e a importância do voto, dos direitos humanos e da informação para a manutenção das liberdades, tornando mais convidativos temas que de início podem intimidar crianças e adultos.Ao final, foram incluídos dois textos informativos e um roteiro com questões para reflexão, ajudando o leitor a assimilar os tópicos abordados. Outro diferencial foi a inclusão de fotos 3x4 enviadas pelos leitores da editora Boitempo nas capas internas deste livro, acréscimo exclusivo para a edição brasileira.",https://www.travessa.com.br/a-democracia-pode-ser-assim-1-ed-2015/artigo/0cea0ab8-9e71-4254-a59f-6823083cfdb9
A ditadura e assim,Así es la dictadura,9788575594667,NA,Português,Brochura,18 x 20,52,Livros para o amanha - vol. 2,2015,2015,1ª,NA,NA,Equipo Plantel,Boitatá,Infantil,"A ditadura é assim é o segundo volume da Coleção Livros para o Amanhã, pensada para crianças entre 8 e 10 anos de idade e que discute a maneira como as pessoas se relacionam em sociedade.O propósito deste livro é mostrar o funcionamento e os perigos da ditadura partindo de exemplos simples, a fim de que as crianças compreendam o problemas existentes em um sistema político que privilegia uma única corrente de pensamento em detrimento das outras. Pode haver liberdade ou justiça em uma ditadura? Para quem? Partindo de questões como essas, o texto guia o leitor à conclusão de que falta cidadania a um Estado que não respeita a diversidade do povo que representa.Em A ditadura é assim também foram acrescentadas duas ilustrações dos ditadores brasileiros Emílio Médici e Ernesto Geisel, feitas especialmente para a edição brasileira pelo artista contemporâneo por Mikel Casal.",https://www.travessa.com.br/a-ditadura-e-assim-1-ed-2015/artigo/6ab4de75-cd2d-4c9c-bdcd-99bcc2dacf97
A ilha do tesouro,L ile au tresor,9788516067175,NA,Português,Brochura,22 x 29,143,NA,2010,2007,1ª,NA,NA,Robert Louis Stevenson,Salamandra,HQ e Desenho Animado,"A vida de Jim Hawkins muda no dia em que um ex-pirata colérico se instala na hospedaria de seu pai. Eles se tornam amigos, mas o velho lobo do mar morre pouco depois. Então Jim descobre na arca do pirata o mapa do tesouro pertencente ao famoso capitão Flint. A caça ao tesouro vai começar.",https://www.travessa.com.br/a-ilha-do-tesouro-1-ed-2010/artigo/c446a24c-8956-41b7-91a3-afc186991722
A ilha do tesouro,L'île au trésor,9788508082322,NA,Português,Brochura,26 x 27,72,O tesouro dos classicos,2002,2001,3ª,NA,NA,Robert Louis Stevenson,Ática,Infantil,Uma mulher encontra na praia um exemplar do livro A ilha do tesouro e tem uma grande surpresa: os personagens saem do papel e ganham vida para contar sobre a busca de um tesouro na Inglaterra do século XVIII.,https://www.travessa.com.br/a-ilha-do-tesouro-3-ed-2002/artigo/d75f21fb-4189-40f9-bde2-f21a4b08b253
A infancia de tarsila do amaral,NA,9788598750378,Literatura,Português,Brochura,21 x 28,32,A infancia de,2009,2004,2ª,NA,NA,Carla Caruso,Callis,Infantil,"Neste livro Carla Caruso apresenta Tarsila do Amaral de forma encantadora: uma menina alegre, que aos poucos vai descobrindo o desenho e a pintura. Junto com belas e importantes obras de Tarsila, esta narrativa nos mostra momentos mágicos de sua infância.",https://www.travessa.com.br/a-infancia-de-tarsila-do-amaral-2-ed-2009/artigo/ca59124f-9028-4342-b5b0-b5af35d6eba9
A louca dos gatos,Herding cats,9788555340567,NA,Português,Capa dura,"16,2 x 19,7 x 1,5",112,NA,2018,2018,1ª,NA,NA,Sarah Andersen,Seguinte,HQ e Desenho Animado,"A terceira coletânea da cartunista Sarah Andersen traz novas tiras que retratam os desafios de ser um jovem adulto num mundo cada vez mais instável.Os quadrinhos de Sarah Andersen são para todos que precisam lidar com níveis de ansiedade cada vez mais alarmantes, que sentem que o mundo está à beira do colapso e que se esforçam para sair ao menos um centimetrozinho da zona de conforto. Ou seja, é basicamente um manual de sobrevivência para os dias de hoje.Além de suas tirinhas sagazes e encantadoras, a autora, que já reuniu mais de 2 milhões de fãs no Facebook, traz também ensaios ilustrados com dicas para os artistas aspirantes aprenderem a lidar com críticas, ignorarem os trolls na internet e não desistirem de mostrar seu trabalho.",https://www.travessa.com.br/a-louca-dos-gatos-1-ed-2018/artigo/718c4e19-e896-4c78-b2a7-94521768cd52
A mecanica do coraçao,La mécanique du coeur,9788501087195,NA,Português,Brochura,"14 x 21 x 1,1",192,NA,2011,2011,1ª,NA,NA,Mathias Malzieu,Galera Record,Juvenil,"Best-seller na França, A mecânica do coração, de Mathias Malzieu, é uma história original, secular e ao mesmo tempo atual, em que humor e poesia caminham juntos. O autor faz um convite a uma reflexão muito pessoal sobre a paixão, os limites do amor verdadeiro e a rejeição. Segundo o jornal britânico The Guardian, “a prosa gótica-punk de Malzieu se destaca... repleta de metáforas impressionantes”. Além de inspirar um disco, a obra ganhará as telas de cinema em animação dirigida por Luc Besson. Edimburgo, 1874. O pequeno Jack nasce na noite mais fria do mundo e seu frágil coração está irremediavelmente congelado. Então, o bebê é submetido a uma operação de emergência. Seu coração é substituído por um relógio de madeira, um pequeno cuco que ajudará a manter o ritmo das batidas e a bombear o sangue normalmente. A delicada prótese garantirá que Jack leve uma vida igual à de todos os outros garotos. Ou quase igual.   Após ser abandonado pela mãe assim que nasceu, Jack tem muita dificuldade pra encontrar alguém que queira adotá-lo, por causa do tique-taque incessante do mecanismo alojado em seu peito. Sendo, então, adotado pela doutora Madeleine, que fez seu parto.Jack é orientado a não se expor às sensações comuns, como a raiva e o desespero, a frustração e o amor. O menor sinal deste último sentimento, o mais perigoso de todos, pode fazer com que o pleno funcionamento do relógio-coração de Jack entre em colapso. Mas tudo irá mudar quando Jack for levado até a cidade pela primeira vez. Ao conhecer uma pequena cantora, os ponteiros de seu relógio apressam-se imediatamente. O despertar deste sentimento pode ser fatal ao menino.",https://www.travessa.com.br/a-mecanica-do-coracao-1-ed-2011/artigo/6f1987c3-c2be-406a-a651-682e0d40db3e
A morte do divino socrates,La mort du divin socrate,9788580630558,NA,Português,Brochura,16 x 24,80,Pequeno filosofo,2012,2012,1ª,NA,NA,Jean Paul Mongin,Martins Fontes - Martins,Infantil,"Sócrates caminhava pelas ruas de Atenas, interpelando quem encontrava à sua frente... Conhece-te a ti mesmo! Não te preocupas com as riquezas, busca a verdade e torna-te filósofo! Isso não agradava aos atenienses. Julgado, Sócrates foi condenado a beber cicuta. Tentará fugir? Um filósofo deve temer a morte?",https://www.travessa.com.br/a-morte-do-divino-socrates-1-ed-2012/artigo/a2c06da9-3792-4638-8ef7-ece9012c0038
A piscina cintilante,NA,9788539503339,NA,Português,Brochura,"15,8 x 23",176,NA,2015,NA,1ª,NA,NA,Odo Hirsch,Fundamento,Infantil,"A família de Darius Bell é a mais tradicional e a mais excêntrica da pequena cidade onde vivem. No passado, os nobres ancestrais dos Bell receberam muitas honras, glórias, terras e até mesmo a casa em que Darius mora com os pais e o irmão. Em retribuição pela Morada Bell, a família deve dar à cidade um presente a cada 25 anos. Só tem um problema: este ano, eles não têm dinheiro para doar algo grandioso e inesquecível. Aliás, eles não têm dinheiro nenhum!Para Darius, o mais importante é conseguir uma maneira de manter o seu lar. Mas como? O que ele pode fazer para ajudar?De uma forma inesperada, Darius e os Bell vão perceber que, com determinação, boas ideias e um pouco de sorte, um momento terrível pode acabar se transformando no melhor de todos!Uma história encantadora, divertida e surpreendente que você precisa ler!Vencedor do Livro do Ano para Jovens Leitores do Children s Book Council of Australia Indicado como um dos Livros Internacionais de Destaque para Crianças e Jovens do USBBY (United States Board of Books for Young People)O charme deste livro é algo que nem crianças nem adultos esquecerão facilmente. O autor conta uma história daquelas que vieram para ficar e vai deixar você querendo mais. Tania McCarney, Australian Women OnlineUma história emocionante e delicada que agrada meninos e meninas. School Librarian",https://www.travessa.com.br/a-piscina-cintilante-1-ed-2015/artigo/9aad41e2-574a-4c05-b34f-3c851e645942
